,Time,Plasma Level
494,180.4904905,0.002033501
495,180.8558559,0.002074541
496,181.2212212,0.002115564
497,181.5865866,0.002156572
498,181.951952,0.002197563
499,182.3173173,0.002238539
500,182.6826827,0.002279498
501,183.048048,0.002320442
502,183.4134134,0.00236137
503,183.7787788,0.002402283
504,184.1441441,0.002443179
505,184.5095095,0.00248406
506,184.8748749,0.002524925
507,185.2402402,0.002565775
508,185.6056056,0.002606609
509,185.970971,0.002647428
510,186.3363363,0.002688231
511,186.7017017,0.002729018
512,187.0670671,0.00276979
513,187.4324324,0.002810547
514,187.7977978,0.002851288
515,188.1631632,0.002892014
516,188.5285285,0.002932724
517,188.8938939,0.002973419
518,189.2592593,0.003014099
519,189.6246246,0.003054763
520,189.98999,0.003095412
521,190.3553554,0.003136046
522,190.7207207,0.003176664
523,191.0860861,0.003217268
524,191.4514515,0.003257856
525,191.8168168,0.003298429
526,192.1821822,0.003338987
527,192.5475475,0.003379529
528,192.9129129,0.003420057
529,193.2782783,0.003460569
530,193.6436436,0.003501066
531,194.009009,0.003541549
532,194.3743744,0.003582016
533,194.7397397,0.003622468
534,195.1051051,0.003662905
535,195.4704705,0.003703327
536,195.8358358,0.003743734
537,196.2012012,0.003784126
538,196.5665666,0.003824503
539,196.9319319,0.003864865
540,197.2972973,0.003905212
541,197.6626627,0.003945544
542,198.028028,0.003985862
543,198.3933934,0.004026164
544,198.7587588,0.004066451
545,199.1241241,0.004106724
546,199.4894895,0.004146981
547,199.8548549,0.004187224
548,200.2202202,0.004227452
549,200.5855856,0.004267665
550,200.950951,0.004307864
551,201.3163163,0.004348047
552,201.6816817,0.004388216
553,202.047047,0.00442837
554,202.4124124,0.004468509
555,202.7777778,0.004508633
556,203.1431431,0.004548742
557,203.5085085,0.004588837
558,203.8738739,0.004628917
559,204.2392392,0.004668982
560,204.6046046,0.004709033
561,204.96997,0.004749068
562,205.3353353,0.004789089
563,205.7007007,0.004829096
564,206.0660661,0.004869087
565,206.4314314,0.004909064
566,206.7967968,0.004949026
567,207.1621622,0.004988974
568,207.5275275,0.005028907
569,207.8928929,0.005068825
570,208.2582583,0.005108729
571,208.6236236,0.005148618
572,208.988989,0.005188492
573,209.3543544,0.005228352
574,209.7197197,0.005268197
575,210.0850851,0.005308027
576,210.4504505,0.005347843
577,210.8158158,0.005387644
578,211.1811812,0.005427431
579,211.5465465,0.005467203
580,211.9119119,0.00550696
581,212.2772773,0.005546703
582,212.6426426,0.005586432
583,213.008008,0.005626145
584,213.3733734,0.005665845
585,213.7387387,0.005705529
586,214.1041041,0.0057452
587,214.4694695,0.005784855
588,214.8348348,0.005824496
589,215.2002002,0.005864123
590,215.5655656,0.005903735
591,215.9309309,0.005943333
592,216.2962963,0.005982916
593,216.6616617,0.006022484
594,217.027027,0.006062038
595,217.3923924,0.006101578
596,217.7577578,0.006141103
597,218.1231231,0.006180614
598,218.4884885,0.00622011
599,218.8538539,0.006259592
600,219.2192192,0.006299059
601,219.5845846,0.006338512
602,219.9499499,0.006377951
603,220.3153153,0.006417375
604,220.6806807,0.006456784
605,221.046046,0.00649618
606,221.4114114,0.00653556
607,221.7767768,0.006574927
608,222.1421421,0.006614279
609,222.5075075,0.006653616
610,222.8728729,0.00669294
611,223.2382382,0.006732248
612,223.6036036,0.006771543
613,223.968969,0.006810823
614,224.3343343,0.006850089
615,224.6996997,0.00688934
616,225.0650651,0.006928577
617,225.4304304,0.0069678
618,225.7957958,0.007007008
619,226.1611612,0.007046202
620,226.5265265,0.007085382
621,226.8918919,0.007124547
622,227.2572573,0.007163698
623,227.6226226,0.007202835
624,227.987988,0.007241957
625,228.3533534,0.007281065
626,228.7187187,0.007320159
627,229.0840841,0.007359239
628,229.4494494,0.007398304
629,229.8148148,0.007437355
630,230.1801802,0.007476392
631,230.5455455,0.007515414
632,230.9109109,0.007554422
633,231.2762763,0.007593416
634,231.6416416,0.007632396
635,232.007007,0.007671361
636,232.3723724,0.007710312
637,232.7377377,0.007749249
638,233.1031031,0.007788172
639,233.4684685,0.007827081
640,233.8338338,0.007865975
641,234.1991992,0.007904855
642,234.5645646,0.007943721
643,234.9299299,0.007982572
644,235.2952953,0.00802141
645,235.6606607,0.008060233
646,236.026026,0.008099042
647,236.3913914,0.008137837
648,236.7567568,0.008176618
649,237.1221221,0.008215384
650,237.4874875,0.008254137
651,237.8528529,0.008292875
652,238.2182182,0.008331599
653,238.5835836,0.008370309
654,238.9489489,0.008409005
655,239.3143143,0.008447686
656,239.6796797,0.008486354
657,240.045045,0.008525007
658,240.4104104,0.008563646
659,240.7757758,0.008602271
660,241.1411411,0.008640882
661,241.5065065,0.008679479
662,241.8718719,0.008718062
663,242.2372372,0.008756631
664,242.6026026,0.008795185
665,242.967968,0.008833726
666,243.3333333,0.008872252
667,243.6986987,0.008910765
668,244.0640641,0.008949263
669,244.4294294,0.008987747
670,244.7947948,0.009026218
671,245.1601602,0.009064674
672,245.5255255,0.009103116
673,245.8908909,0.009141544
674,246.2562563,0.009179958
675,246.6216216,0.009218358
676,246.986987,0.009256744
677,247.3523524,0.009295116
678,247.7177177,0.009333473
679,248.0830831,0.009371817
680,248.4484484,0.009410147
681,248.8138138,0.009448463
682,249.1791792,0.009486765
683,249.5445445,0.009525053
684,249.9099099,0.009563327
685,250.2752753,0.009601587
686,250.6406406,0.009639832
687,251.006006,0.009678064
688,251.3713714,0.009716282
689,251.7367367,0.009754486
690,252.1021021,0.009792676
691,252.4674675,0.009830853
692,252.8328328,0.009869015
693,253.1981982,0.009907163
694,253.5635636,0.009945297
695,253.9289289,0.009983418
696,254.2942943,0.010021524
697,254.6596597,0.010059617
698,255.025025,0.010097695
699,255.3903904,0.01013576
700,255.7557558,0.010173811
701,256.1211211,0.010211847
702,256.4864865,0.01024987
703,256.8518519,0.010287879
704,257.2172172,0.010325875
705,257.5825826,0.010363856
706,257.9479479,0.010401823
707,258.3133133,0.010439777
708,258.6786787,0.010477717
709,259.044044,0.010515643
710,259.4094094,0.010553555
711,259.7747748,0.010591453
712,260.1401401,0.010629337
713,260.5055055,0.010667208
714,260.8708709,0.010705064
715,261.2362362,0.010742907
716,261.6016016,0.010780736
717,261.966967,0.010818551
718,262.3323323,0.010856352
719,262.6976977,0.01089414
720,263.0630631,0.010931914
721,263.4284284,0.010969674
722,263.7937938,0.01100742
723,264.1591592,0.011045152
724,264.5245245,0.011082871
725,264.8898899,0.011120576
726,265.2552553,0.011158267
727,265.6206206,0.011195944
728,265.985986,0.011233607
729,266.3513514,0.011271257
730,266.7167167,0.011308893
731,267.0820821,0.011346515
732,267.4474474,0.011384124
733,267.8128128,0.011421718
734,268.1781782,0.011459299
735,268.5435435,0.011496867
736,268.9089089,0.01153442
737,269.2742743,0.01157196
738,269.6396396,0.011609486
739,270.005005,0.011646999
740,270.3703704,0.011684497
741,270.7357357,0.011721982
742,271.1011011,0.011759454
743,271.4664665,0.011796911
744,271.8318318,0.011834355
745,272.1971972,0.011871785
746,272.5625626,0.011909202
747,272.9279279,0.011946605
748,273.2932933,0.011983994
749,273.6586587,0.01202137
750,274.024024,0.012058732
751,274.3893894,0.01209608
752,274.7547548,0.012133415
753,275.1201201,0.012170736
754,275.4854855,0.012208043
755,275.8508509,0.012245337
756,276.2162162,0.012282617
757,276.5815816,0.012319884
758,276.9469469,0.012357136
759,277.3123123,0.012394376
760,277.6776777,0.012431601
761,278.043043,0.012468814
762,278.4084084,0.012506012
763,278.7737738,0.012543197
764,279.1391391,0.012580368
765,279.5045045,0.012617526
766,279.8698699,0.01265467
767,280.2352352,0.012691801
768,280.6006006,0.012728918
769,280.965966,0.012766021
770,281.3313313,0.012803111
771,281.6966967,0.012840188
772,282.0620621,0.012877251
773,282.4274274,0.0129143
774,282.7927928,0.012951336
775,283.1581582,0.012988358
776,283.5235235,0.013025367
777,283.8888889,0.013062362
778,284.2542543,0.013099343
779,284.6196196,0.013136312
780,284.984985,0.013173266
781,285.3503504,0.013210207
782,285.7157157,0.013247135
783,286.0810811,0.013284049
784,286.4464464,0.01332095
785,286.8118118,0.013357837
786,287.1771772,0.013394711
787,287.5425425,0.013431571
788,287.9079079,0.013468418
789,288.2732733,0.013505251
790,288.6386386,0.013542071
791,289.004004,0.013578878
792,289.3693694,0.013615671
793,289.7347347,0.01365245
794,290.1001001,0.013689216
795,290.4654655,0.013725969
796,290.8308308,0.013762708
797,291.1961962,0.013799434
798,291.5615616,0.013836146
799,291.9269269,0.013872845
800,292.2922923,0.013909531
801,292.6576577,0.013946203
802,293.023023,0.013982862
803,293.3883884,0.014019508
804,293.7537538,0.01405614
805,294.1191191,0.014092758
806,294.4844845,0.014129363
807,294.8498498,0.014165955
808,295.2152152,0.014202534
809,295.5805806,0.014239099
810,295.9459459,0.014275651
811,296.3113113,0.014312189
812,296.6766767,0.014348714
813,297.042042,0.014385226
814,297.4074074,0.014421725
815,297.7727728,0.01445821
816,298.1381381,0.014494682
817,298.5035035,0.01453114
818,298.8688689,0.014567585
819,299.2342342,0.014604017
820,299.5995996,0.014640435
821,299.964965,0.014676841
822,300.3303303,0.014713233
823,300.6956957,0.014749611
824,301.0610611,0.014785977
825,301.4264264,0.014822329
826,301.7917918,0.014858667
827,302.1571572,0.014894993
828,302.5225225,0.014931305
829,302.8878879,0.014967604
830,303.2532533,0.01500389
831,303.6186186,0.015040162
832,303.983984,0.015076421
833,304.3493493,0.015112667
834,304.7147147,0.0151489
835,305.0800801,0.015185119
836,305.4454454,0.015221326
837,305.8108108,0.015257519
838,306.1761762,0.015293698
839,306.5415415,0.015329865
840,306.9069069,0.015366018
841,307.2722723,0.015402159
842,307.6376376,0.015438286
843,308.003003,0.015474399
844,308.3683684,0.0155105
845,308.7337337,0.015546587
846,309.0990991,0.015582661
847,309.4644645,0.015618722
848,309.8298298,0.01565477
849,310.1951952,0.015690805
850,310.5605606,0.015726826
851,310.9259259,0.015762835
852,311.2912913,0.01579883
853,311.6566567,0.015834812
854,312.022022,0.015870781
855,312.3873874,0.015906737
856,312.7527528,0.015942679
857,313.1181181,0.015978609
858,313.4834835,0.016014525
859,313.8488488,0.016050428
860,314.2142142,0.016086319
861,314.5795796,0.016122196
862,314.9449449,0.01615806
863,315.3103103,0.01619391
864,315.6756757,0.016229748
865,316.041041,0.016265573
866,316.4064064,0.016301384
867,316.7717718,0.016337183
868,317.1371371,0.016372968
869,317.5025025,0.01640874
870,317.8678679,0.0164445
871,318.2332332,0.016480246
872,318.5985986,0.016515979
873,318.963964,0.016551699
874,319.3293293,0.016587406
875,319.6946947,0.0166231
876,320.0600601,0.016658781
877,320.4254254,0.016694449
878,320.7907908,0.016730104
879,321.1561562,0.016765746
880,321.5215215,0.016801374
881,321.8868869,0.01683699
882,322.2522523,0.016872593
883,322.6176176,0.016908183
884,322.982983,0.01694376
885,323.3483483,0.016979324
886,323.7137137,0.017014874
887,324.0790791,0.017050412
888,324.4444444,0.017085937
889,324.8098098,0.017121449
890,325.1751752,0.017156948
891,325.5405405,0.017192434
892,325.9059059,0.017227907
893,326.2712713,0.017263367
894,326.6366366,0.017298814
895,327.002002,0.017334248
896,327.3673674,0.017369669
897,327.7327327,0.017405077
898,328.0980981,0.017440473
899,328.4634635,0.017475855
900,328.8288288,0.017511224
901,329.1941942,0.017546581
902,329.5595596,0.017581924
903,329.9249249,0.017617255
904,330.2902903,0.017652573
905,330.6556557,0.017687878
906,331.021021,0.01772317
907,331.3863864,0.017758449
908,331.7517518,0.017793715
909,332.1171171,0.017828968
910,332.4824825,0.017864209
911,332.8478478,0.017899436
912,333.2132132,0.017934651
913,333.5785786,0.017969853
914,333.9439439,0.018005042
915,334.3093093,0.018040218
916,334.6746747,0.018075381
917,335.04004,0.018110532
918,335.4054054,0.018145669
919,335.7707708,0.018180794
920,336.1361361,0.018215906
921,336.5015015,0.018251005
922,336.8668669,0.018286091
923,337.2322322,0.018321165
924,337.5975976,0.018356225
925,337.962963,0.018391273
926,338.3283283,0.018426308
927,338.6936937,0.018461331
928,339.0590591,0.01849634
929,339.4244244,0.018531337
930,339.7897898,0.01856632
931,340.1551552,0.018601292
932,340.5205205,0.01863625
933,340.8858859,0.018671195
934,341.2512513,0.018706128
935,341.6166166,0.018741048
936,341.981982,0.018775955
937,342.3473473,0.01881085
938,342.7127127,0.018845732
939,343.0780781,0.018880601
940,343.4434434,0.018915457
941,343.8088088,0.018950301
942,344.1741742,0.018985131
943,344.5395395,0.019019949
944,344.9049049,0.019054755
945,345.2702703,0.019089548
946,345.6356356,0.019124327
947,346.001001,0.019159095
948,346.3663664,0.019193849
949,346.7317317,0.019228591
950,347.0970971,0.01926332
951,347.4624625,0.019298037
952,347.8278278,0.019332741
953,348.1931932,0.019367432
954,348.5585586,0.01940211
955,348.9239239,0.019436776
956,349.2892893,0.019471429
957,349.6546547,0.019506069
958,350.02002,0.019540697
959,350.3853854,0.019575312
960,350.7507508,0.019609915
961,351.1161161,0.019644505
962,351.4814815,0.019679082
963,351.8468468,0.019713647
964,352.2122122,0.019748199
965,352.5775776,0.019782738
966,352.9429429,0.019817265
967,353.3083083,0.019851779
968,353.6736737,0.01988628
969,354.039039,0.019920769
970,354.4044044,0.019955245
971,354.7697698,0.019989709
972,355.1351351,0.02002416
973,355.5005005,0.020058599
974,355.8658659,0.020093025
975,356.2312312,0.020127438
976,356.5965966,0.020161839
977,356.961962,0.020196227
978,357.3273273,0.020230603
979,357.6926927,0.020264966
980,358.0580581,0.020299317
981,358.4234234,0.020333655
982,358.7887888,0.02036798
983,359.1541542,0.020402293
984,359.5195195,0.020436594
985,359.8848849,0.020470881
986,360.2502503,0.020505157
987,360.6156156,0.02053942
988,360.980981,0.02057367
989,361.3463463,0.020607908
990,361.7117117,0.020642133
991,362.0770771,0.020676346
992,362.4424424,0.020710546
993,362.8078078,0.020744734
994,363.1731732,0.020778909
995,363.5385385,0.020813072
996,363.9039039,0.020847222
997,364.2692693,0.02088136
998,364.6346346,0.020915486
999,365,0.020949599